iter	MultiClass
0	1.593723078
1	1.581166775
2	1.568310748
3	1.556007734
4	1.54390338
5	1.532686738
6	1.521710634
7	1.511196074
8	1.501749726
9	1.492379857
10	1.483747877
11	1.475877503
12	1.46889762
13	1.461013921
14	1.453388758
15	1.446586344
16	1.440034693
17	1.433967026
18	1.427866444
19	1.42152893
20	1.41623887
21	1.411078789
22	1.405985448
23	1.400810935
24	1.395961762
25	1.390812829
26	1.386582529
27	1.382192571
28	1.378333221
29	1.373932206
30	1.369860871
31	1.366250607
32	1.362417527
33	1.359303206
34	1.355359457
35	1.352506996
36	1.349829755
37	1.347209759
38	1.344411014
39	1.341749257
40	1.339160251
41	1.336774097
42	1.333630339
43	1.331211638
44	1.32869492
45	1.326338671
46	1.323471763
47	1.32127963
48	1.318719948
49	1.31677701
50	1.314339753
51	1.312101032
52	1.309810678
53	1.308030112
54	1.306081494
55	1.304390864
56	1.302988002
57	1.301487822
58	1.299417131
59	1.298087112
60	1.296431944
61	1.295058264
62	1.293968137
63	1.292190557
64	1.290316114
65	1.288998508
66	1.287978979
67	1.28676957
68	1.28528696
69	1.284072052
70	1.282780669
71	1.281793416
72	1.280848191
73	1.279608832
74	1.278317549
75	1.277011313
76	1.276396215
77	1.275333605
78	1.274488775
79	1.273554333
80	1.272819944
81	1.271693114
82	1.270876846
83	1.269602131
84	1.268482656
85	1.267553715
86	1.266691298
87	1.26579566
88	1.265086069
89	1.264227876
90	1.263343848
91	1.262469208
92	1.261290298
93	1.260509294
94	1.259857474
95	1.258915252
96	1.257973447
97	1.257326508
98	1.256508879
99	1.255826481
100	1.255074117
101	1.254290639
102	1.253486689
103	1.252745484
104	1.251722377
105	1.251017247
106	1.249979058
107	1.249323993
108	1.248350965
109	1.247950888
110	1.247431532
111	1.246884681
112	1.246231262
113	1.245584249
114	1.244873253
115	1.244359788
116	1.243617024
117	1.242795594
118	1.24239192
119	1.241533545
120	1.24098857
121	1.240223433
122	1.239601286
123	1.238675197
124	1.238199793
125	1.237551557
126	1.237063247
127	1.236308989
128	1.235678997
129	1.234993235
130	1.234527327
131	1.233832585
132	1.233152651
133	1.232793588
134	1.232361563
135	1.23188232
136	1.231302831
137	1.230880009
138	1.23041164
139	1.230385474
140	1.22972832
141	1.229179405
142	1.228726208
143	1.228200383
144	1.227515901
145	1.226832014
146	1.226270891
147	1.225491885
148	1.224818754
149	1.224249438
150	1.223693948
151	1.223238521
152	1.222620597
153	1.222095298
154	1.22126246
155	1.220700942
156	1.22021181
157	1.219743748
158	1.219160357
159	1.218627988
160	1.218116559
161	1.21786282
162	1.217494129
163	1.216994092
164	1.2164809
165	1.215727732
166	1.215286291
167	1.214788614
168	1.214378964
169	1.213995467
170	1.213534164
171	1.213013007
172	1.212615952
173	1.212079776
174	1.211500668
175	1.21116983
176	1.210693804
177	1.210325706
178	1.209885354
179	1.209498174
180	1.209153241
181	1.208505281
182	1.208051512
183	1.207765718
184	1.207447458
185	1.207051013
186	1.206767875
187	1.206265828
188	1.205949299
189	1.205528733
190	1.20516692
191	1.204697943
192	1.204300999
193	1.203807792
194	1.203238936
195	1.202961362
196	1.202721312
197	1.202227871
198	1.201883699
199	1.201642347
200	1.20136426
201	1.201009258
202	1.200683515
203	1.200428863
204	1.200016848
205	1.199674989
206	1.199366172
207	1.198695512
208	1.19853725
209	1.198126697
210	1.197587286
211	1.197201894
212	1.196668612
213	1.196195656
214	1.195691932
215	1.195307743
216	1.195011586
217	1.194559743
218	1.194313883
219	1.193955064
220	1.19362773
221	1.193311635
222	1.192988043
223	1.192608116
224	1.192110995
225	1.191448937
226	1.191060472
227	1.190858943
228	1.190467119
229	1.190075924
230	1.189506216
231	1.189014479
232	1.188703251
233	1.188291174
234	1.187918871
235	1.187594607
236	1.187076284
237	1.186528767
238	1.186267008
239	1.185932534
240	1.18564919
241	1.1852795
242	1.184850445
243	1.184557875
244	1.184043394
245	1.183603221
246	1.183221179
247	1.182868976
248	1.182607315
249	1.182159908
250	1.181779367
251	1.181348337
252	1.180917896
253	1.180414468
254	1.17999178
255	1.179607017
256	1.179279232
257	1.179069488
258	1.178555242
259	1.178025659
260	1.177470797
261	1.176930355
262	1.176585351
263	1.176133135
264	1.175731963
265	1.175602103
266	1.175156329
267	1.174792306
268	1.174275986
269	1.173895407
270	1.173507136
271	1.173014395
272	1.172540472
273	1.172254769
274	1.171864141
275	1.171520359
276	1.171154406
277	1.170871815
278	1.170464075
279	1.169973367
280	1.169524593
281	1.168992668
282	1.168548844
283	1.168346368
284	1.167885934
285	1.167445168
286	1.166982677
287	1.166486482
288	1.166178689
289	1.165846503
290	1.165494328
291	1.165078002
292	1.164668453
293	1.164217462
294	1.163902765
295	1.16350839
296	1.163122572
297	1.162752409
298	1.162384385
299	1.161743137
300	1.161302046
301	1.160895307
302	1.160488835
303	1.160247249
304	1.159773025
305	1.159392616
306	1.159223383
307	1.15877725
308	1.158503833
309	1.158154195
310	1.157658408
311	1.157276964
312	1.157001695
313	1.156597651
314	1.156426425
315	1.156134635
316	1.155653997
317	1.155275829
318	1.154899611
319	1.154524302
320	1.154107385
321	1.153855405
322	1.153472624
323	1.152952633
324	1.152635148
325	1.152461022
326	1.152122491
327	1.151854903
328	1.1515772
329	1.151059088
330	1.150569992
331	1.150078827
332	1.149773358
333	1.149471161
334	1.149093736
335	1.148678431
336	1.148241746
337	1.147916119
338	1.147568174
339	1.147248269
340	1.14681269
341	1.146548653
342	1.146169803
343	1.145844016
344	1.145368679
345	1.144871715
346	1.144453935
347	1.144158816
348	1.143662917
349	1.143269473
350	1.142801352
351	1.142373365
352	1.14199257
353	1.141388746
354	1.141026952
355	1.140567251
356	1.140041137
357	1.139637397
358	1.139242459
359	1.138822295
360	1.138471187
361	1.138188847
362	1.137868789
363	1.137482829
364	1.137157131
365	1.136860316
366	1.136597813
367	1.136219638
368	1.136045215
369	1.135810076
370	1.135598025
371	1.13525233
372	1.134966038
373	1.134789032
374	1.134434664
375	1.134115166
376	1.133754097
377	1.133421765
378	1.133139302
379	1.132818745
380	1.132530729
381	1.132207716
382	1.131775599
383	1.131390374
384	1.131081119
385	1.13083528
386	1.130620295
387	1.130265635
388	1.129975172
389	1.129649833
390	1.129448725
391	1.129111734
392	1.128820579
393	1.128609945
394	1.128381671
395	1.128082693
396	1.127716538
397	1.127557895
398	1.127246695
399	1.126766559
400	1.126327179
401	1.125920143
402	1.125534734
403	1.12514319
404	1.124721197
405	1.124352828
406	1.124052037
407	1.123740822
408	1.123409835
409	1.122994874
410	1.122685497
411	1.1223207
412	1.122020769
