iter	Passed	Remaining
0	5	2603
1	9	2364
2	13	2293
3	18	2237
4	22	2203
5	26	2215
6	31	2227
7	36	2216
8	41	2248
9	46	2257
10	50	2232
11	55	2240
12	60	2248
13	64	2244
14	69	2249
15	74	2254
16	78	2244
17	84	2266
18	89	2271
19	94	2263
20	99	2273
21	104	2262
22	109	2263
23	114	2264
24	118	2253
25	123	2246
26	128	2245
27	132	2238
28	137	2236
29	142	2230
30	146	2216
31	150	2206
32	155	2196
33	159	2186
34	164	2180
35	168	2174
36	173	2168
37	177	2163
38	182	2156
39	186	2148
40	199	2230
41	208	2277
42	220	2341
43	229	2375
44	239	2420
45	247	2437
46	252	2438
47	258	2432
48	262	2420
49	267	2407
50	272	2402
51	278	2395
52	282	2381
53	287	2373
54	291	2361
55	296	2347
56	300	2338
57	305	2328
58	309	2314
59	314	2303
60	318	2292
61	322	2279
62	326	2266
63	330	2253
64	335	2242
65	338	2228
66	342	2215
67	347	2205
68	351	2193
69	355	2183
70	359	2173
71	363	2162
72	368	2152
73	372	2142
74	376	2131
75	380	2121
76	382	2102
77	387	2094
78	390	2083
79	395	2076
80	399	2067
81	403	2058
82	407	2049
83	411	2038
84	415	2030
85	419	2020
86	423	2011
87	427	2003
88	431	1994
89	436	1987
90	440	1979
91	444	1972
92	449	1967
93	454	1963
94	458	1956
95	463	1950
96	467	1943
97	472	1936
98	477	1935
99	482	1930
100	486	1922
101	491	1918
102	496	1915
103	501	1910
104	506	1904
105	510	1898
106	515	1891
107	519	1886
108	524	1880
109	528	1874
110	532	1867
111	538	1864
112	542	1858
113	547	1852
114	551	1846
115	556	1842
116	561	1836
117	565	1830
118	569	1824
119	574	1819
120	579	1813
121	583	1807
122	587	1801
123	591	1794
124	595	1787
125	600	1781
126	604	1774
127	608	1768
128	612	1762
129	617	1756
130	621	1750
131	626	1746
132	630	1739
133	634	1732
134	638	1725
135	642	1719
136	646	1712
137	650	1705
138	654	1700
139	656	1688
140	660	1682
141	665	1676
142	669	1670
143	673	1664
144	677	1658
145	681	1653
146	687	1649
147	690	1643
148	695	1637
149	699	1631
150	703	1626
151	708	1621
152	712	1615
153	716	1609
154	721	1606
155	725	1600
156	730	1595
157	733	1588
158	738	1582
159	742	1577
160	746	1571
161	750	1566
162	754	1560
163	758	1554
164	762	1548
165	767	1543
166	771	1538
167	775	1533
168	779	1527
169	783	1521
170	787	1515
171	791	1510
172	796	1504
173	800	1499
174	804	1493
175	808	1487
176	812	1482
177	816	1477
178	821	1472
179	826	1468
180	831	1464
181	835	1460
182	840	1456
183	845	1452
184	849	1446
185	858	1450
186	866	1449
187	873	1449
188	881	1449
189	893	1457
190	901	1458
191	908	1456
192	912	1452
193	917	1447
194	923	1444
195	928	1439
196	933	1435
197	937	1430
198	942	1425
199	946	1420
200	951	1415
201	956	1410
202	961	1406
203	965	1400
204	969	1395
205	974	1390
206	978	1385
207	983	1380
208	987	1375
209	991	1369
210	996	1364
211	1000	1359
212	1004	1353
213	1009	1348
214	1013	1343
215	1017	1337
216	1021	1332
217	1025	1326
218	1030	1321
219	1034	1316
220	1038	1311
221	1043	1306
222	1047	1301
223	1052	1296
224	1056	1291
225	1060	1285
226	1064	1280
227	1068	1275
228	1073	1269
229	1077	1264
230	1081	1259
231	1085	1254
232	1089	1249
233	1093	1243
234	1097	1238
235	1101	1232
236	1106	1227
237	1110	1222
238	1114	1216
239	1118	1211
240	1122	1205
241	1126	1200
242	1130	1195
243	1134	1190
244	1138	1185
245	1142	1179
246	1147	1174
247	1151	1170
248	1156	1165
249	1160	1160
250	1164	1154
251	1168	1149
252	1172	1144
253	1176	1139
254	1180	1134
255	1184	1129
256	1188	1123
257	1192	1118
258	1196	1113
259	1200	1108
260	1204	1103
261	1208	1098
262	1212	1093
263	1217	1087
264	1221	1082
265	1224	1077
266	1229	1072
267	1233	1067
268	1237	1062
269	1241	1057
270	1245	1052
271	1249	1047
272	1254	1042
273	1258	1037
274	1262	1032
275	1266	1027
276	1270	1022
277	1274	1018
278	1279	1013
279	1283	1008
280	1288	1003
281	1292	998
282	1296	993
283	1300	988
284	1304	984
285	1308	979
286	1312	974
287	1316	969
288	1320	964
289	1325	959
290	1329	954
291	1332	949
292	1337	944
293	1341	939
294	1345	934
295	1349	929
296	1353	924
297	1357	919
298	1360	914
299	1365	910
300	1369	905
301	1373	900
302	1377	895
303	1381	890
304	1386	886
305	1390	881
306	1394	876
307	1398	871
308	1402	866
309	1406	862
310	1411	857
311	1415	852
312	1419	848
313	1423	843
314	1427	838
315	1432	833
316	1436	829
317	1440	824
318	1444	819
319	1448	814
320	1452	810
321	1456	805
322	1461	800
323	1465	795
324	1469	791
325	1473	786
326	1477	781
327	1481	776
328	1485	772
329	1490	767
330	1494	763
331	1498	758
332	1503	753
333	1507	749
334	1511	744
335	1515	739
336	1519	734
337	1523	730
338	1528	725
339	1532	721
340	1536	716
341	1540	711
342	1544	707
343	1549	702
344	1553	698
345	1558	693
346	1562	688
347	1566	684
348	1571	679
349	1575	675
350	1579	670
351	1584	666
352	1588	661
353	1592	656
354	1597	652
355	1601	647
356	1605	643
357	1610	638
358	1614	634
359	1618	629
360	1622	624
361	1626	620
362	1630	615
363	1634	610
364	1638	606
